Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Latitude,Longitude
RPT-100001,24-05-2025,20-05-2025,21:16,Delhi,F606,Cyber Crime,15,Other,Knife,Public,30,Yes,24:39.5,28.71082343,77.10004901
RPT-100002,17-03-2025,15-03-2025,12:53,Hyderabad,B202,Assault,67,Female,Gun,Public,28,Yes,24:39.5,17.38257152,78.47079245
RPT-100003,06-12-2025,05-12-2025,19:39,Pune,C303,Theft,17,Female,Blunt Object,Private,3,No,,18.50367079,73.87653991
RPT-100004,11-01-2025,09-01-2025,10:18,Kolkata,E505,Theft,35,Male,Knife,Public,25,Yes,24:39.5,22.56782686,88.35064581
RPT-100005,25-01-2025,13-01-2025,11:13,Mumbai,F606,Robbery,52,Other,Blunt Object,Cyber,17,Yes,24:39.5,19.07625962,72.8688671
RPT-100006,22-01-2025,11-01-2025,09:05,Hyderabad,C303,Theft,45,Other,Poison,Private,18,No,,17.37380318,78.46705881
RPT-100007,18-06-2025,09-06-2025,02:46,Pune,E505,Theft,20,Female,Unknown,Cyber,23,Yes,24:39.5,18.50133137,73.87038864
RPT-100008,01-01-2025,22-12-2024,17:40,Bangalore,B202,Cyber Crime,58,Other,Blunt Object,Transport,6,Yes,24:39.5,12.97924605,77.59024465
RPT-100009,11-11-2025,09-11-2025,16:26,Chennai,E505,Assault,22,Male,None,Cyber,5,Yes,24:39.5,13.06661062,80.25790141
RPT-100010,27-06-2025,23-06-2025,00:17,Chennai,A101,Assault,37,Other,Poison,Private,20,Yes,24:39.5,13.09251493,80.27264497
RPT-100011,09-06-2025,08-06-2025,00:55,Bangalore,E505,Burglary,10,Male,None,Residential,10,Yes,24:39.5,12.9539024,77.59822549
RPT-100012,30-12-2024,17-12-2024,02:51,Mumbai,G707,Assault,41,Other,Blunt Object,Public,2,Yes,24:39.5,19.07073603,72.89744842
RPT-100013,26-01-2025,21-01-2025,19:50,Bangalore,G707,Burglary,66,Female,Knife,Public,5,Yes,24:39.5,12.95555495,77.59381328
RPT-100014,04-12-2024,21-11-2024,07:53,Chennai,G707,Burglary,77,Other,Blunt Object,Public,19,No,,13.10189187,80.26944469
RPT-100015,15-09-2025,01-09-2025,00:07,Hyderabad,G707,Burglary,83,Male,Knife,Public,13,Yes,24:39.5,17.36959594,78.50497819
RPT-100016,18-08-2025,11-08-2025,03:35,Mumbai,B202,Theft,19,Other,None,Public,4,No,,19.0887386,72.88246436
RPT-100017,22-02-2025,20-02-2025,01:55,Pune,F606,Assault,39,Other,Blunt Object,Public,27,No,,18.52093216,73.87016119
RPT-100018,14-03-2025,10-03-2025,23:12,Pune,C303,Theft,67,Female,Gun,Commercial,26,Yes,24:39.5,18.53016497,73.8454832
RPT-100019,04-06-2025,30-05-2025,02:35,Bangalore,B202,Robbery,33,Other,Gun,Commercial,14,Yes,24:39.5,12.96345088,77.60590694
RPT-100020,10-09-2025,31-08-2025,08:35,Chennai,E505,Fraud,85,Female,None,Cyber,9,No,,13.06705106,80.2579385
RPT-100021,12-04-2025,11-04-2025,22:11,Pune,G707,Fraud,46,Other,Gun,Residential,20,No,,18.52922365,73.87043993
RPT-100022,20-01-2025,16-01-2025,10:24,Mumbai,C303,Kidnapping,77,Other,None,Cyber,28,No,,19.09012981,72.89300272
RPT-100023,18-11-2024,15-11-2024,22:56,Delhi,C303,Cyber Crime,77,Male,Gun,Transport,6,No,,28.71915832,77.10217975
RPT-100024,02-01-2025,30-12-2024,19:50,Chennai,D404,Theft,69,Male,Blunt Object,Transport,20,Yes,24:39.5,13.08442518,80.2846662
